model,dataset,sample_id,context_length,block_index,lookback_start,lookback_end,method,perturbation_type,layer,clean_loss,intervened_loss,loss_delta,prediction_distance,recovery_score,attribution_score,seed,requested_context_length,horizon,metric,prediction_distance_norm,severity,loss_recovery
PatchTST-FM-R1,synthetic,synth_42_0,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.6568357022479177,0.6484698695130646,-0.00836583273485303,1.3047433900646865,,,42,8192,64,mae,0.8580522867389752,,
PatchTST-FM-R1,synthetic,synth_42_1,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.18164257798343897,1.0454121176153421,0.8637695396319032,1.0981480134651065,,,42,8192,64,mae,0.8262608095423257,,
PatchTST-FM-R1,synthetic,synth_42_2,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.5476296965789516,0.4224185693601612,-0.12521112721879035,0.5496797258965671,,,42,8192,64,mae,0.775880813435015,,
PatchTST-FM-R1,synthetic,synth_42_3,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.696579169441975,0.9972246537981846,0.30064548435620964,0.9332301903050393,,,42,8192,64,mae,0.8544626753093167,,
PatchTST-FM-R1,synthetic,synth_42_4,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.17675388885982102,0.30802648534154287,0.13127259648172185,0.24083776405313984,,,42,8192,64,mae,1.1855579234384828,,
PatchTST-FM-R1,synthetic,synth_42_5,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.4615341397293378,0.7985577389335958,-0.6629764007957419,1.2150047529867152,,,42,8192,64,mae,1.1493577902917966,,
PatchTST-FM-R1,synthetic,synth_42_7,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.3582361721200868,1.258666292167618,-0.09956987995246891,1.3965351229853695,,,42,8192,64,mae,1.1266595381541331,,
PatchTST-FM-R1,synthetic,synth_42_8,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.34385675587691367,0.6143282502889633,0.27047149441204965,0.3269094636198133,,,42,8192,64,mae,2.7183303468602253,,
PatchTST-FM-R1,synthetic,synth_42_9,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.9058299041753344,0.7534947619242303,-0.15233514225110412,1.4577526020584628,,,42,8192,64,mae,0.8826707202743774,,
PatchTST-FM-R1,synthetic,synth_42_10,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.23482370912097394,0.4379327888600528,0.20310907973907888,0.3132523458916694,,,42,8192,64,mae,0.6357809017932208,,
PatchTST-FM-R1,synthetic,synth_42_11,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.06341615319252014,1.6002458936418407,1.5368297404493205,1.5735376893426292,,,42,8192,64,mae,0.9874090220315368,,
PatchTST-FM-R1,synthetic,synth_42_12,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,3.6225311507005244,1.737795675988309,-1.8847354747122154,2.5325528430985287,,,42,8192,64,mae,1.1362909950725162,,
PatchTST-FM-R1,synthetic,synth_42_14,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.0637090644449927,0.5527721985126846,-0.5109368659323081,0.965528332744725,,,42,8192,64,mae,0.9878537190244939,,
